name,age,weight,height,gender,roll_number,mobile_number,email
Aradhya,6,19.7,115.82,F,1,-,aradhya123@example.com
Ananaya,7,26.6,115.82,F,2,-,ananaya_07@example.com
Chaintanya,6,15.8,100.58,M,3,-,chaintanya.kid@example.com
Deekshitha,7,16.3,112.78,F,4,-,deekshitha2007@example.com
Doleshwar,6,21.5,119.38,M,5,-,dolu_6@example.com
Gurwesh Naidu,7,17.9,115.82,M,6,-,gurwesh.n@example.com
Jai Surya,6,38.2,119.38,M,7,-,suryaj_rocks@example.com
Manogya,7,27.8,119.38,F,8,-,manogya.7@example.com
Nithya,6,23.3,112.78,F,9,-,nithya.cute@example.com
Srivalli,7,14.1,103.63,F,10,-,srivalli_7@example.com
Siva Bharatwaj,6,29.3,119.38,M,11,-,shivab_6@example.com
Vaidhik,7,16.9,115.82,M,12,-,venkatbhuvanasai@gmail.com
