name,age,weight,height,gender,roll_number,mobile_number
Rahul Gupta,15,57,172,F,100,9842921636
Tanya Malhotra,14,49,175,M,101,9865964444
Tanya Bose,16,62,169,M,102,9830418195
Kabir Nair,15,67,160,F,103,9843569889
Pooja Das,15,70,177,F,104,9823560595
Vikas Joshi,15,52,161,M,105,9842066862
Vikas Joshi,15,75,157,M,106,9811732547
Vivaan Rao,15,59,167,F,107,9868687307
Bhavya Bhatia,17,64,171,M,108,9828661708
Aditi Verma,14,54,164,M,109,9839677435
Varun Chopra,17,55,157,F,110,9865078074
Aarav Rao,15,49,159,F,111,9837335937
Aditi Das,17,57,174,F,112,9870428455
Nikhil Bose,15,68,176,F,113,9866280380
Shruti Ghosh,17,59,157,F,114,9853360408
Raj Sharma,16,63,155,M,115,9828135936
Nidhi Mishra,16,46,155,F,116,9832928318
Nidhi Chauhan,16,56,175,F,117,9867415538
Tanvi Rao,17,64,166,F,118,9871766701
Siya Rao,17,71,158,M,119,9855274990
Yash Chopra,14,68,158,M,120,9896613061
Kiran Joshi,17,63,166,M,121,9811533458
Soham Bose,14,73,171,M,122,9891392348
Sanya Nair,17,54,177,F,123,9813206275
Tanvi Chopra,17,55,165,F,124,9863059921
Yash Chopra,17,52,174,F,125,9830381685
Neha Ghosh,15,51,167,F,126,9846372895
Priya Singh,15,70,160,F,127,9868986595
Pooja Malhotra,15,45,175,F,128,9884305516
Rohan Singh,15,47,158,M,129,9876201084
Manav Iyer,17,73,160,F,130,9847145375
Harsh Mehta,17,47,170,F,131,9849302341
Simran Chopra,14,64,172,M,132,9823826883
Nikhil Chopra,15,52,168,M,133,9854806182
Kiran Ghosh,15,49,156,M,134,9875546694
Soham Bhatia,14,65,174,M,135,9895484699
Tanya Mishra,16,74,177,M,136,9828017645
Sneha Rao,14,69,178,M,137,9895080046
Shruti Reddy,16,46,171,M,138,9870860387
Dev Rao,17,58,169,F,139,9814138826
Pooja Joshi,15,74,163,F,140,9821246941
Simran Das,14,75,177,M,141,9864708365
Soham Chauhan,14,71,166,F,142,9893361013
Tanvi Gupta,15,73,168,M,143,9877707630
Anushka Ghosh,14,66,165,M,144,9852593229
Anushka Das,17,68,163,M,145,9882791090
Dev Joshi,15,49,162,M,146,9891314870
Raj Bhatia,14,56,179,F,147,9893458547
Rahul Mishra,17,55,158,F,148,9817984367
Priya Kumar,17,70,174,M,149,9887051340
Varun Bose,17,72,165,F,150,9846387136
Kabir Singh,14,63,156,F,151,9844389022
Shruti Mishra,16,54,157,M,152,9816168383
Aakash Kumar,14,56,156,M,153,9828596303
Kiran Singh,16,74,161,M,154,9830836513
Varun Verma,14,64,162,F,155,9824762129
Anushka Singh,15,67,179,F,156,9814294152
Rahul Nair,15,68,162,F,157,9814175242
Swati Malhotra,14,59,164,M,158,9876016139
Dev Iyer,14,51,169,M,159,9838698496
Rahul Ghosh,14,63,172,F,160,9899896136
Arjun Mehta,15,48,156,M,161,9895798133
Kiran Ghosh,16,67,178,F,162,9853157747
Tanya Reddy,15,67,165,F,163,9833152541
Aakash Sharma,17,69,173,M,164,9896365030
Tanya Patel,16,45,160,F,165,9825573258
Kiran Mehta,16,46,180,F,166,9856754275
Arjun Bose,17,75,169,F,167,9831947921
Tanvi Kumar,15,74,174,M,168,9880157055
Arjun Sharma,17,75,155,M,169,9869803375
Tanya Joshi,14,47,179,M,170,9891126008
Soham Kumar,15,45,178,M,171,9894550183
Siya Nair,16,54,157,M,172,9829490573
Nikhil Joshi,15,52,167,F,173,9897330007
Nidhi Ghosh,17,74,178,M,174,9839130554
Rohan Rao,15,46,164,F,175,9867599196
Tanvi Reddy,14,52,156,M,176,9845604650
Manav Gupta,16,58,170,M,177,9821962299
Neha Joshi,16,47,166,F,178,9896300673
Rahul Bose,15,70,178,F,179,9884932360
Yash Singh,16,51,159,F,180,9891827053
Ishaan Mehta,16,54,173,F,181,9817879590
Sneha Patel,15,49,170,F,182,9855954008
Vivaan Bhatia,16,67,170,F,183,9820568394
Priya Ghosh,17,65,158,F,184,9895402024
Soham Ghosh,14,48,162,M,185,9860797422
Priya Iyer,15,52,162,M,186,9834786136
Aniket Rao,17,54,168,F,187,9830795850
Yash Chauhan,17,55,157,F,188,9885809165
Rahul Bose,16,65,178,M,189,9852855664
Simran Verma,14,69,158,M,190,9852403990
Sneha Chopra,16,56,170,M,191,9819395718
Ishaan Gupta,16,62,165,F,192,9848822702
Raj Joshi,16,72,169,F,193,9869446736
Meera Rao,17,71,170,F,194,9867051053
Rahul Mehta,17,60,166,M,195,9866340853
Raj Verma,16,70,165,M,196,9839719348
Pooja Verma,14,74,159,M,197,9837797396
Vikas Iyer,14,49,158,M,198,9816817256
Meera Malhotra,15,51,163,F,199,9853369723
Neha Rao,14,67,175,M,200,9895478692
Aarav Reddy,16,73,167,M,201,9885343494
Simran Chauhan,15,73,160,F,202,9852884209
Bhavya Mishra,14,54,167,F,203,9869828389
Vihaan Patel,14,50,176,F,204,9890355210
Pooja Bhatia,14,63,172,M,205,9896536007
Nidhi Bhatia,14,66,160,M,206,9840095694
Kiran Bhatia,15,57,166,M,207,9827543898
Simran Verma,17,57,168,F,208,9816340308
Aarav Reddy,15,62,158,M,209,9824417056
Bhavya Bhatia,16,70,155,M,210,9835876782
Nidhi Mishra,17,56,157,F,211,9868347108
Tanya Malhotra,17,50,155,M,212,9814416576
Ishaan Chopra,15,65,158,F,213,9890681014
Aarav Bhatia,14,57,165,F,214,9899006312
Neha Ghosh,14,53,164,M,215,9888443109
Aditi Iyer,17,72,169,M,216,9825448588
Dev Joshi,14,55,174,F,217,9889311421
Riya Rao,17,55,168,M,218,9886351304
Harsh Chopra,17,45,176,M,219,9864553250
Varun Iyer,14,46,169,F,220,9896803114
Priya Mishra,17,54,163,F,221,9848262253
Kiran Rao,15,74,161,M,222,9822476616
Harsh Singh,16,51,155,F,223,9836703700
Nikhil Verma,14,56,160,F,224,9878818693
Nikhil Mehta,15,66,163,M,225,9815231797
Rahul Gupta,15,73,165,M,226,9860265004
Riya Chauhan,14,46,180,M,227,9877910259
Dev Iyer,16,55,168,F,228,9896059055
Aarav Patel,17,65,165,M,229,9867102138
Nikhil Iyer,16,46,157,F,230,9822164001
Anushka Reddy,14,72,158,M,231,9869477467
Kabir Joshi,16,48,166,F,232,9845088001
Swati Patel,15,56,169,M,233,9833121809
Soham Joshi,15,47,177,F,234,9879443449
Sanya Patel,15,45,168,M,235,9869912922
Meera Bhatia,16,75,173,M,236,9888138688
Harsh Sharma,17,71,166,M,237,9852791045
Vivaan Bhatia,15,68,167,M,238,9826237987
Sneha Rao,17,62,163,M,239,9855489386
Pooja Gupta,15,67,170,F,240,9875609210
Harsh Patel,17,74,164,F,241,9853740045
Kiran Mishra,17,71,161,F,242,9863059089
Riya Gupta,14,55,176,F,243,9867874257
Nidhi Patel,17,59,165,M,244,9884606191
Bhavya Reddy,14,67,162,F,245,9850785713
Rahul Iyer,14,50,162,M,246,9814708460
Ishaan Patel,16,70,176,M,247,9852387308
Aditi Rao,17,66,164,M,248,9894980838
Pooja Gupta,14,49,159,F,249,9891254725
Nidhi Chopra,14,66,178,M,250,9822615402
Tanya Gupta,17,54,157,F,251,9890636700
Ishaan Reddy,16,62,166,M,252,9819358178
Swati Gupta,14,64,173,M,253,9866882218
Sanya Mishra,17,62,173,M,254,9818139339
Arjun Nair,17,66,175,F,255,9820792219
